tier,M,ef_construction,ef_search,query_id,k,query_latency_ms,index_build_s,precision,recall,ndcg
100k,16,40,50,56,1000,0.30784698901697993,16.684499502182007,0.018,0.35294117647058826,0.18161220452291288
100k,16,40,50,82,10,0.33230200642719865,16.684499502182007,0.2,0.03225806451612903,0.1610425878239398
100k,16,40,50,82,50,0.33230200642719865,16.684499502182007,0.04,0.03225806451612903,0.056731409360920554
100k,16,40,50,82,100,0.33230200642719865,16.684499502182007,0.03,0.04838709677419355,0.06021412372141403
100k,16,40,50,82,300,0.33230200642719865,16.684499502182007,0.04666666666666667,0.22580645161290322,0.15681450722791618
100k,16,40,50,82,500,0.33230200642719865,16.684499502182007,0.054,0.43548387096774194,0.25830528330785246
100k,16,40,50,82,1000,0.33230200642719865,16.684499502182007,0.027,0.43548387096774194,0.25830528330785246
100k,16,40,50,91,10,0.31008198857307434,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,91,50,0.31008198857307434,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,91,100,0.31008198857307434,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,91,300,0.31008198857307434,16.684499502182007,0.01,0.046875,0.02553967378188105
100k,16,40,50,91,500,0.31008198857307434,16.684499502182007,0.03,0.234375,0.1168383521623658
100k,16,40,50,91,1000,0.31008198857307434,16.684499502182007,0.015,0.234375,0.1168383521623658
100k,16,40,50,92,10,0.3385379968676716,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,92,50,0.3385379968676716,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,92,100,0.3385379968676716,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,92,300,0.3385379968676716,16.684499502182007,0.01,0.047619047619047616,0.025379794888077484
100k,16,40,50,92,500,0.3385379968676716,16.684499502182007,0.018,0.14285714285714285,0.0708140392862708
100k,16,40,50,92,1000,0.3385379968676716,16.684499502182007,0.011,0.1746031746031746,0.08547905168160479
100k,16,40,100,1,10,0.7237399986479431,16.684499502182007,1.0,0.136986301369863,1.0
100k,16,40,100,1,50,0.7237399986479431,16.684499502182007,0.4,0.273972602739726,0.5373634628422757
100k,16,40,100,1,100,0.7237399986479431,16.684499502182007,0.24,0.3287671232876712,0.45310560969553026
100k,16,40,100,1,300,0.7237399986479431,16.684499502182007,0.12,0.4931506849315068,0.5487872945117395
100k,16,40,100,1,500,0.7237399986479431,16.684499502182007,0.076,0.5205479452054794,0.563252946801709
100k,16,40,100,1,1000,0.7237399986479431,16.684499502182007,0.04,0.547945205479452,0.5757423370718915
100k,16,40,100,2,10,0.38389599649235606,16.684499502182007,0.5,0.07692307692307693,0.5884674004369673
100k,16,40,100,2,50,0.38389599649235606,16.684499502182007,0.36,0.27692307692307694,0.43082099342477265
100k,16,40,100,2,100,0.38389599649235606,16.684499502182007,0.21,0.3230769230769231,0.391689546868961
100k,16,40,100,2,300,0.38389599649235606,16.684499502182007,0.11666666666666667,0.5384615384615384,0.5181992865488989
100k,16,40,100,2,500,0.38389599649235606,16.684499502182007,0.078,0.6,0.5481916713112558
100k,16,40,100,2,1000,0.38389599649235606,16.684499502182007,0.04,0.6153846153846154,0.5554060815746994
100k,16,40,100,3,10,0.46925898641347885,16.684499502182007,0.2,0.2857142857142857,0.16945984979943973
100k,16,40,100,3,50,0.46925898641347885,16.684499502182007,0.12,0.8571428571428571,0.43794963478494925
100k,16,40,100,3,100,0.46925898641347885,16.684499502182007,0.06,0.8571428571428571,0.43794963478494925
100k,16,40,100,3,300,0.46925898641347885,16.684499502182007,0.02,0.8571428571428571,0.43794963478494925
100k,16,40,100,3,500,0.46925898641347885,16.684499502182007,0.012,0.8571428571428571,0.43794963478494925
100k,16,40,100,3,1000,0.46925898641347885,16.684499502182007,0.006,0.8571428571428571,0.43794963478494925
100k,16,40,100,4,10,0.40120998164638877,16.684499502182007,0.9,0.10975609756097561,0.9052116356304493
100k,16,40,100,4,50,0.40120998164638877,16.684499502182007,0.54,0.32926829268292684,0.6301790849417432
100k,16,40,100,4,100,0.40120998164638877,16.684499502182007,0.33,0.4024390243902439,0.4980223521845798
100k,16,40,100,4,300,0.40120998164638877,16.684499502182007,0.19333333333333333,0.7073170731707317,0.6821138423706442
